#,Latency steering,Period steering,Latency velocity,Period velocity
842,28670720,78740812,-1,-1
843,-1,-1,25434624,150570251
844,28613888,150560598,-1,-1
845,-1,-1,25480960,71922408
846,29646848,72909172,-1,-1
847,-1,-1,29419520,149431555
848,32677632,148524109,-1,-1
849,-1,-1,25389824,58840989
850,28592896,58785615,-1,-1
851,-1,-1,27430656,172552398
852,30679552,172598561,-1,-1
853,-1,-1,28404992,149728175
854,31635712,149709672,-1,-1
855,-1,-1,29619968,62959367
856,32828672,62938044,-1,-1
857,-1,-1,25470208,172480619
858,28608512,172409543,-1,-1
859,-1,-1,25413632,59807842
860,28630272,59886522,-1,-1
861,-1,-1,29453568,170682117
862,32638720,170650420,-1,-1
863,-1,-1,29401856,62798117
864,32671488,62882835,-1,-1
865,-1,-1,27392256,152605076
866,30571776,152514595,-1,-1
867,-1,-1,26411008,58918362
868,29610496,58938507,-1,-1
869,-1,-1,25486848,170680248
870,28645376,170639629,-1,-1
871,-1,-1,25413888,47805179
872,28656896,47889886,-1,-1
873,-1,-1,25471232,163675415
874,32934656,167895235,-1,-1
875,-1,-1,26513408,64799613
876,29778176,60600908,-1,-1
877,-1,-1,25439744,148661290
878,28647424,148603413,-1,-1
879,-1,-1,25501696,88798487
880,28688640,88778328,-1,-1
881,-1,-1,25422080,138617901
882,28593152,138601478,-1,-1
883,-1,-1,25458176,72856516
884,31577344,75805024,-1,-1
885,-1,-1,29541888,175572871
886,32747264,172658881,-1,-1
887,-1,-1,20604160,53948696
888,23751168,53890566,-1,-1
889,-1,-1,25429760,161575214
890,28678400,161677345,-1,-1
891,-1,-1,27564032,62891650
892,30802688,62881275,-1,-1
893,-1,-1,25451776,142645644
894,28640000,142595296,-1,-1
895,-1,-1,25612032,68888883
896,28656640,68745339,-1,-1
897,-1,-1,25485056,174504265
898,28658944,174632921,-1,-1
899,-1,-1,17373184,50785525
900,20640768,50879508,-1,-1
901,-1,-1,25474304,172539365
902,28583680,172381045,-1,-1
903,-1,-1,25425152,58848254
904,28626432,58940589,-1,-1
905,-1,-1,25449728,142638099
906,29687808,143674874,-1,-1
907,-1,-1,25419264,72710858
908,28663296,71716706,-1,-1
909,-1,-1,25415936,167616884
910,28617216,167573253,-1,-1
911,-1,-1,19897600,54874475
912,23180544,54956303,-1,-1
913,-1,-1,25485056,162685982
914,28676352,162594320,-1,-1
915,-1,-1,25557760,77885556
916,28739584,77875960,-1,-1
917,-1,-1,25463808,157490911
918,28690688,157536485,-1,-1
919,-1,-1,10998528,44893248
920,14179072,44846542,-1,-1
921,-1,-1,25459968,181575744
922,28639488,181574409,-1,-1
923,-1,-1,8482560,41788950
924,11699968,41827004,-1,-1
925,-1,-1,25482496,175608471
926,28685568,175594557,-1,-1
927,-1,-1,25376000,68829951
928,28568064,68818635,-1,-1
929,-1,-1,26949120,162647013
930,30140160,162645876,-1,-1
931,-1,-1,25412096,59857581
932,28600832,59855929,-1,-1
933,-1,-1,25431552,142627175
934,28602880,142608785,-1,-1
935,-1,-1,26950912,61875362
936,30139904,61892655,-1,-1
937,-1,-1,28388096,168552286
938,31663616,168639232,-1,-1
939,-1,-1,29376000,63889801
940,32651264,63889548,-1,-1
941,-1,-1,25552640,163689968
942,28773632,163635665,-1,-1
943,-1,-1,25411328,69736402
944,28585728,69690027,-1,-1
945,-1,-1,25449728,148678019
946,28727040,148781163,-1,-1
947,-1,-1,25581056,77841394
948,28738304,77720961,-1,-1
949,-1,-1,10445056,143633491
950,13681152,143712290,-1,-1
951,-1,-1,25361408,58777987
952,28683264,58864793,-1,-1
953,-1,-1,26464000,169721240
954,29670912,169606119,-1,-1
955,-1,-1,25553920,55815751
956,28710912,55765309,-1,-1
957,-1,-1,25649664,158713899
958,28759296,158666668,-1,-1
959,-1,-1,13467136,76685230
960,16662272,76770243,-1,-1
961,-1,-1,25530624,147747440
962,28747008,147768985,-1,-1
963,-1,-1,25486080,74799015
964,28651520,74747851,-1,-1
965,-1,-1,25572608,148695109
966,28844800,148801800,-1,-1
967,-1,-1,25514752,88684246
968,28682240,88579516,-1,-1
969,-1,-1,25456896,135713518
970,28689920,135779546,-1,-1
971,-1,-1,25457664,87742528
972,28617472,87668874,-1,-1
973,-1,-1,26918656,158586259
974,30141184,158648587,-1,-1
975,-1,-1,22544128,55871452
976,25629184,55733966,-1,-1
977,-1,-1,25456128,164532487
978,28643840,164635630,-1,-1
979,-1,-1,26435328,62877522
980,29633280,62886999,-1,-1
981,-1,-1,26901504,160573143
982,30099456,160573479,-1,-1
983,-1,-1,25964544,59915611
984,29229056,59981784,-1,-1
