#,Latency steering,Period steering,Latency velocity,Period velocity
6739,35008256,45110366,-1,-1
6740,-1,-1,1733414992063044608,95135943
6741,21717248,93607933,-1,-1
6742,-1,-1,1733414992111614208,148569414
6743,36084736,150841748,-1,-1
6744,-1,-1,1733414992102125568,40510976
6745,33780992,39681477,-1,-1
6746,-1,-1,1733414992141734656,139609136
6747,23693568,139876795,-1,-1
6748,-1,-1,1733414992181825024,40090051
6749,32997120,38959280,-1,-1
6750,-1,-1,1733414992192802560,110977357
6751,38573824,114315210,-1,-1
6752,-1,-1,1733414992189434624,46632021
6753,34880512,44308888,-1,-1
6754,-1,-1,1733414992184382976,94948132
6755,29733376,98652390,-1,-1
6756,-1,-1,1733414992238442240,104059180
6757,33846784,100812164,-1,-1
6758,-1,-1,1733414992216234752,27792277
6759,19126272,26946621,-1,-1
6760,-1,-1,1733414992227858432,111623613
6761,29872384,114843627,-1,-1
6762,-1,-1,1733414992289847808,111989021
6763,34973184,108710382,-1,-1
6764,-1,-1,1733414992268325120,28477475
6765,17841152,28936560,-1,-1
6766,-1,-1,1733414992280842240,112516749
6767,24953600,114794046,-1,-1
6768,-1,-1,1733414992330574080,99731736
6769,34876928,96665919,-1,-1
6770,-1,-1,1733414992303843072,23268865
6771,19466240,26968411,-1,-1
6772,-1,-1,1733414992349821952,95978541
6773,34857216,92761175,-1,-1
6774,-1,-1,1733414992327589888,27767893
6775,18416128,27868767,-1,-1
6776,-1,-1,1733414992341360128,163770145
6777,40268288,174699609,-1,-1
6778,-1,-1,1733414992406002176,164641750
6779,34002176,153701308,-1,-1
6780,-1,-1,1733414992419569920,113567569
6781,32595456,114468449,-1,-1
6782,-1,-1,1733414992442540288,122970144
6783,30898944,121042055,-1,-1
6784,-1,-1,1733414992412619520,20079215
6785,16753920,22834774,-1,-1
6786,-1,-1,1733414992470900480,158281121
6787,33331968,155743624,-1,-1
6788,-1,-1,1733414992457809408,36908436
6789,33786112,38803159,-1,-1
6790,-1,-1,1733414992467838464,110028602
6791,44835328,119849190,-1,-1
6792,-1,-1,1733414992498311168,130472548
6793,43623680,118673580,-1,-1
6794,-1,-1,1733414992521109760,122798820
6795,42316544,122771212,-1,-1
6796,-1,-1,1733414992536680704,115570508
6797,44861952,127671583,-1,-1
6798,-1,-1,1733414992585644288,48963772
6799,33216000,38206851,-1,-1
6800,-1,-1,1733414992601344512,115699725
6801,32329216,114368628,-1,-1
6802,-1,-1,1733414992620285696,118941006
6803,31426048,118840269,-1,-1
6804,-1,-1,1733414992608095744,37809958
6805,30378752,37863430,-1,-1
6806,-1,-1,1733414992649533696,91437697
6807,31843840,90800439,-1,-1
