#,Latency steering,Period steering,Latency velocity,Period velocity
3422,-1,-1,1733238052794689792,107302017
3423,37454848,105130885,-1,-1
3424,-1,-1,1733238052766781696,22091817
3425,15936512,22418130,-1,-1
3426,-1,-1,1733238052816513536,99731522
3427,33089024,99952952,-1,-1
3428,-1,-1,1733238052852720640,136207003
3429,34880256,135419318,-1,-1
3430,-1,-1,1733238052844722432,42001727
3431,33479680,41504869,-1,-1
3432,-1,-1,1733238052864813056,120090664
3433,33968128,120769511,-1,-1
3434,-1,-1,1733238052839992320,25178944
3435,18848768,24995314,-1,-1
3436,-1,-1,1733238052906370304,116377872
3437,34297856,118389626,-1,-1
3438,-1,-1,1733238052922121728,115751259
3439,33163776,113629096,-1,-1
3440,-1,-1,1733238052903688192,31566137
3441,30200320,40618335,-1,-1
3442,-1,-1,1733238052960966144,107278006
3443,30827520,97675684,-1,-1
3444,-1,-1,1733238052951737600,40771068
3445,38845696,44008051,-1,-1
3446,-1,-1,1733238053019453696,167715963
3447,34361344,165631539,-1,-1
3448,-1,-1,1733238053013248768,43794940
3449,33662208,43189758,-1,-1
3450,-1,-1,1733238053019995648,156746835
3451,43776256,159351614,-1,-1
3452,-1,-1,1733238053028741888,108745902
3453,44857856,118846121,-1,-1
3454,-1,-1,1733238053091726592,162984702
3455,32918784,151657135,-1,-1
3456,-1,-1,1733238053083891456,42164892
3457,32105728,40079521,-1,-1
3458,-1,-1,1733238053103988736,120097145
3459,33038592,120695810,-1,-1
3460,-1,-1,1733238053085986304,31997313
3461,38961664,43922479,-1,-1
3462,-1,-1,1733238053157181184,121194771
3463,33976320,108740125,-1,-1
3464,-1,-1,1733238053146385920,139204665
3465,21229568,139902477,-1,-1
3466,-1,-1,1733238053133490432,37104233
3467,34879488,39646418,-1,-1
3468,-1,-1,1733238053184107520,100616982
3469,32834304,97668745,-1,-1
3470,-1,-1,1733238053157094912,22987312
3471,16281344,22978295,-1,-1
3472,-1,-1,1733238053170744064,163648925
3473,40734464,167567802,-1,-1
3474,-1,-1,1733238053217282048,146537814
3475,39297792,144681281,-1,-1
3476,-1,-1,1733238053219880192,152597973
3477,31838208,149662855,-1,-1
3478,-1,-1,1733238053224676608,154796091
3479,40837632,164739881,-1,-1
3480,-1,-1,1733238053272374784,97697876
3481,32607232,88035899,-1,-1
3482,-1,-1,1733238053253977088,31602334
3483,34587136,39578607,-1,-1
3484,-1,-1,1733238053309003776,155026580
3485,38955008,149394906,-1,-1
3486,-1,-1,1733238053335913216,176909129
3487,33498368,173028019,-1,-1
3488,-1,-1,1733238053310548992,74635557
3489,19899904,79763167,-1,-1
3490,-1,-1,1733238053360211968,99662995
3491,34604544,97336076,-1,-1
3492,-1,-1,1733238053370098176,109886156
3493,38245888,109516804,-1,-1
3494,-1,-1,1733238053399351808,129253388
3495,36743680,131106981,-1,-1
3496,-1,-1,1733238053440099328,240747139
3497,32570624,240325010,-1,-1
3498,-1,-1,1733238053435922432,145823000
3499,21853440,143924289,-1,-1
3500,-1,-1,1733238053499076352,113153733
3501,33110016,114981389,-1,-1
3502,-1,-1,1733238053480124928,81048576
3503,19305472,79474300,-1,-1
3504,-1,-1,1733238053467278080,37152684
3505,35027712,40093414,-1,-1
3506,-1,-1,1733238053525902592,158624558
3507,34029312,156616180,-1,-1
3508,-1,-1,1733238053510643712,34741013
3509,29764352,36753157,-1,-1
3510,-1,-1,1733238053559966208,149322414
3511,33164032,147986757,-1,-1
3512,-1,-1,1733238053552790528,42823849
3513,34030336,41745631,-1,-1
3514,-1,-1,1733238053606835200,154044679
3515,43835904,156441553,-1,-1
3516,-1,-1,1733238053579457280,172621792
3517,17864192,172644328,-1,-1
3518,-1,-1,1733238053633069824,103612957
3519,33252864,101134301,-1,-1
3520,-1,-1,1733238053605133056,22062601
3521,14796032,21557503,-1,-1
3522,-1,-1,1733238053644142336,139009103
3523,33295104,139124204,-1,-1
3524,-1,-1,1733238053629776384,35634153
3525,33508352,38503191,-1,-1
3526,-1,-1,1733238053637387520,107610678
3527,41868288,114823815,-1,-1
3528,-1,-1,1733238053686653440,49265815
3529,36905472,41883643,-1,-1
3530,-1,-1,1733238053675195136,88541435
3531,19422208,85792521,-1,-1
3532,-1,-1,1733238053713159936,37964725
3533,38886400,43946883,-1,-1
3534,-1,-1,1733238053724073472,110913592
3535,34557696,104938210,-1,-1
3536,-1,-1,1733238053731842816,107769158
3537,33020928,107701844,-1,-1
3538,-1,-1,1733238053716613376,34770221
3539,32891136,37771801,-1,-1
3540,-1,-1,1733238053762214144,145600402
3541,33993728,143267835,-1,-1
3542,-1,-1,1733238053738140928,25926831
3543,32868352,37175249,-1,-1
3544,-1,-1,1733238053795838976,157697833
3545,34369024,145603665,-1,-1
3546,-1,-1,1733238053771656448,25817260
3547,18621440,25921466,-1,-1
3548,-1,-1,1733238053779279104,157622300
3549,39745280,169603318,-1,-1
3550,-1,-1,1733238053813872128,134593010
3551,19792640,122708134,-1,-1
3552,-1,-1,1733238053802354432,38482137
3553,32868352,37954784,-1,-1
3554,-1,-1,1733238053852295680,99941205
3555,34586112,101895799,-1,-1
3556,-1,-1,1733238053844509440,42213261
3557,32900352,39775296,-1,-1
3558,-1,-1,1733238053891179264,146669690
3559,44687104,159513753,-1,-1
3560,-1,-1,1733238053883709440,142530188
3561,19946752,130735856,-1,-1
3562,-1,-1,1733238053869682688,35973227
3563,33905664,38928401,-1,-1
3564,-1,-1,1733238053922038272,102355166
3565,34348800,99187107,-1,-1
3566,-1,-1,1733238053897565440,25526935
3567,20019712,25564044,-1,-1
3568,-1,-1,1733238053960005888,162440291
3569,32634368,162364621,-1,-1
3570,-1,-1,1733238053943973120,33967118
3571,30136064,37135829,-1,-1
3572,-1,-1,1733238054003883008,109909658
3573,41830656,114793845,-1,-1
3574,-1,-1,1733238054006584320,202701276
3575,32974848,194771309,-1,-1
3576,-1,-1,1733238053982514176,25929865
3577,28759040,34160506,-1,-1
3578,-1,-1,1733238054032555520,100041174
3579,37395968,94624754,-1,-1
